model_type,backbone,weighting_scheme,loss_function,hidden_dim,r2_score,mse,mae,rmse,train_time,final_loss,convergence,improvement_pct,parameters
GTVC,GraphSAGE,cosine,mse,128,0.4576535224914551,3.9348483085632324,1.6693556308746338,1.9836452073299884,0.3133525848388672,0.41510793566703796,False,-8.45660609780298,21360
GTVC,GraphSAGE,cosine,huber,128,0.4752817153930664,3.8069517612457275,1.6515958309173584,1.951141143342974,0.2851564884185791,0.20119114220142365,False,-4.930478738854816,21360
GTVC,GraphSAGE,dot_product,mse,128,0.4632241129875183,3.894432306289673,1.670751929283142,1.9734316066916717,0.2784256935119629,0.40670615434646606,False,-7.342333542283706,21360
GTVC,GraphSAGE,dot_product,huber,128,0.4641891121864319,3.8874309062957764,1.6614484786987305,1.9716568936546177,0.28496456146240234,0.19825047254562378,False,-7.149306945873975,21360
GTVC,GCN,cosine,mse,128,0.4342677593231201,4.104516983032227,1.7113343477249146,2.0259607555508636,0.30962276458740234,0.45784422755241394,False,-13.13440715080886,12144
GTVC,GCN,cosine,huber,128,0.43336206674575806,4.111088275909424,1.7218300104141235,2.0275818789655387,0.3006715774536133,0.21828508377075195,False,-13.315570778507801,12144
GTVC,GCN,dot_product,mse,128,0.4250894784927368,4.171107769012451,1.7307026386260986,2.0423290060645103,0.3188202381134033,0.46097418665885925,False,-14.970317803974323,12144
GTVC,GCN,dot_product,huber,128,0.43656831979751587,4.087825775146484,1.7149494886398315,2.021837227658667,0.2826406955718994,0.22184152901172638,False,-12.674231268064798,12144
GTWR,GraphSAGE,cosine,mse,128,0.5391830801963806,3.343332529067993,1.527274250984192,1.8284782003261602,14.983258485794067,0.299868106842041,False,7.851566021189618,19008
GTWR,GraphSAGE,cosine,huber,128,0.5401924848556519,3.3360087871551514,1.5240392684936523,1.8264744145908947,16.16967225074768,0.14781196415424347,False,8.053474940905419,19008
GTWR,GraphSAGE,dot_product,mse,128,0.5344218015670776,3.3778767585754395,1.5323296785354614,1.837900094829814,18.648517608642578,0.2915859818458557,False,6.899178278891551,19008
GTWR,GraphSAGE,dot_product,huber,128,0.5384753942489624,3.3484668731689453,1.5326679944992065,1.8298816555091604,16.86399269104004,0.14881166815757751,False,7.71000920962861,19008
GTWR,GCN,cosine,mse,128,0.5226504802703857,3.463280439376831,1.5478335618972778,1.8609891024336578,16.609413385391235,0.38262349367141724,False,4.544587634978159,9792
GTWR,GCN,cosine,huber,128,0.5228163003921509,3.4620773792266846,1.5478219985961914,1.8606658429784442,16.599769353866577,0.18624556064605713,False,4.577756257041894,9792
GTWR,GCN,dot_product,mse,128,0.5185166001319885,3.493272542953491,1.5571088790893555,1.8690298400382728,16.276100397109985,0.37825295329093933,False,3.7176969868004632,9792
GTWR,GCN,dot_product,huber,128,0.520356297492981,3.4799251556396484,1.5552462339401245,1.8654557501156783,16.4407901763916,0.18635013699531555,False,4.085687468467316,9792
