,R² Score,RMSE,MAE,Train Time (s),Pred Time (s)
Classical GWR,0.6834178091598764,3.914857906717562,3.0223133974932477,9.83297610282898,2.123291254043579
GAT,0.5062601230737065,4.8890205832749425,3.7779619179190282,41.633090019226074,11.199849605560303
GCN,0.45637657268792176,5.130052924997289,3.8778921600848926,30.080002307891846,10.160925388336182
GraphSAGE,0.9429146683389694,1.6623980767485744,1.2960140389779284,28.258994102478027,7.941840171813965
