"Model","Train_R2","Train_RMSE","Train_MAE","Test_R2","Test_RMSE","Test_MAE"
"OLS",0.216305780467529,0.630323007771451,0.472431513717004,-0.708838941817002,0.79083105472795,0.597060543407305
"WLS",0.212673295621031,0.631782117513408,0.465413770189874,-0.622582907215859,0.770613472100263,0.582378401283668
"GWR-Adaptive",0.270965503572381,0.607944421150586,0.458856546150116,-0.790881126472586,0.809592597727292,0.596432771234844
"GWR-Fixed",-5.44273513184702,1.80727806175857,0.799578367859359,-7.58764504225445,1.77284265124454,0.906615054510375
