Model,Train_R2,Train_RMSE,Train_MAE,Test_R2,Test_RMSE,Test_MAE,Parameters,Training_Time
OLS Baseline,0.21630578046752713,0.6303230077714513,0.47243151371700354,-0.7088389418169754,0.7908310547279442,0.5970605434072949,N/A,<1s
GNN-GTVC,0.7473261830497598,0.357906807255929,0.24446538329914355,-0.6360019732606081,0.7737934700720527,0.5617839509811132,"19,451",~20s
GNN-GTWR,0.7553838700025418,0.3521538036641881,0.24168344089610633,-0.9234236021448128,0.8390167272730891,0.6178813418292951,"24,674",~22s
